"YEAR_MONTH","SFDC_ACCOUNT_ID","SWIMLANE_MAP","AGE_IN_MONTHS","SUBSCRIBED_ROUTER_COUNT","TERM_MAP","CHURNED_ACCOUNT_FLAG","LOGIN_COUNT","TOTAL_MINUTES","Account_NCM_Permissions","Account_Subscription_Change_License","Account_Subscriptions","Dashboard_Clients_Tab","Devices_Remote_Connect_Connect_to_Device_UI","Devices_Subnav_Network_Interfaces","Devices_Interfaces_Interface_Details","Devices_Toggle_Image","Footer_Contact_Cradlepoint_Link","Footer_Knowledge_Base_Link","Groups_Add","Groups_Commands_Menu","Groups_Configuration_Edit","Groups_Dashboard","Groups_Firmware_Menu","Groups_Group_Data_Usage","Groups_Settings","Groups_Refresh_Button","Notifications","Help_Panel_Button","NetCloud_Perimeter","Network_Interfaces_Commands_Menu","Network_Interfaces_Export_Menu","Network_Interfaces_Filter_All","Reports_Report_Type_Data_Usage","Reports_Report_Type_Signal_Quality","Reports_Run_Report_Button","Routers_Commands_Ping","Routers_Commands_Reboot","Routers_Commands_Restore_to_Defaults","Routers_Commands_Speed_Test","Routers_Commands_Unregister","Routers_Commands_Menu","Routers_Configuration_Edit","Routers_Configuration_Resume_Updates","Routers_Configuration_Summary","Routers_Configuration_Menu","Routers_Device_Dashboard_Link","Routers_Firmware_Retry_Upgrade","Routers_Move","Routers_NetCloud_OS_Menu","Routers_Remote_Connect_Console","Routers_Remote_Connect_Menu","Scheduler_Subnav_Schedules","Scheduler_Tasks_Add","Scheduler_Tasks_Edit","Churn_Probability"
2020-11-01,"00150000014yWYBAA2","000100",635,2412,"100",0,651,1920,29,0,2,1,18,0,4,7,0,0,16,0,1,0,2,0,0,2,5,0,3,0,0,0,0,0,0,0,0,0,0,17,24,133,9,4,188,170,1,153,8,3,28,0,0,0,-8.9457521251779e-18
2020-08-01,"0015000000tQ1mTAAS","001100",508,31379,"111",0,627,3047,0,0,0,0,1,39,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,23,2,12,0,11,0,241,2,11,19,317,0,25,1,45,302,2,88,3,2,16,0,0,0,-8.91864707086576e-18
2020-11-01,"0015000000iTwI2AAK","110000",735,388,"110",0,326,1438,0,0,1,0,54,90,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,8,15,1,3,0,64,0,0,0,11,131,0,87,8,0,53,0,0,0,-9.58543140694434e-18
2021-01-01,"0015000000U6jeQAAR","111000",683,1564,"110",0,382,1055,11,1,2,1,3,0,4,11,0,0,0,0,3,3,0,0,0,0,6,0,2,0,0,0,0,0,0,0,27,1,0,0,56,4,13,6,51,126,1,73,14,1,4,0,0,0,-1.00277858933184e-17
2021-02-01,"0013800001COY3KAAX","000000",685,1981,"110",0,478,3886,2,0,0,8,0,96,1,31,0,0,0,0,42,8,1,0,0,3,5,2,9,36,1,0,0,0,0,0,6,0,153,0,189,12,15,4,76,66,3,14,12,49,57,0,0,0,-9.39027501589695e-18
2020-01-01,"00138000017fopHAAQ","001100",113,94,"111",0,64,454,1,0,5,4,20,0,0,0,0,0,2,0,4,11,1,0,0,4,1,0,2,0,0,0,0,0,0,0,1,0,0,1,6,8,4,0,19,13,0,4,3,0,90,0,0,0,-9.71336726329763e-18
2020-01-01,"0013800001S3rtEAAR","001000",603,331,"100",0,120,453,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,1,0,88,0,0,0,2,28,0,8,1,0,9,0,0,0,-8.42750348672983e-18
2020-03-01,"0015000000unrcwAAA","110000",652,1037,"100",0,65,213,5,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,24,0,3,0,0,0,0,0,0,-8.24535752175226e-18
2020-04-01,"00150000012xAYZAA2","001000",627,906,"100",0,252,572,0,0,0,0,0,11,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,2,3,4,1,1,10,100,0,9,9,0,0,0,0,0,-9.11271925974066e-18
2020-11-01,"0015000000XauSEAAZ","111000",699,1903,"110",0,705,6503,30,0,0,1,4,15,20,3,1,2,1,0,6,42,0,2,0,0,21,2,16,0,0,0,0,0,0,10,52,0,84,0,180,90,29,5,261,771,4,594,31,41,67,0,1,0,-8.79830062971987e-18
